REV,group_id,Entity_Name,Entity Acronym,Alternative_form_of_name,alt_name_vol_2,Related_Entity_Sub_Entity,Related_Entity_Main_Entity,Located_Location,Grouped,entity_as_author,simple_name_loc
y,2,A Capella,,A appela [i. e. A cappella,,,2002,Gdańsk,bn_books-210-%c-30466,,aappelaieacappella|gdańsk
y,3,ABC,,"""ABC""|ABC",,,,Kraków,bn_books-210-%c-2745|bn_books-210-%c-2759|bn_books-210-%c-28619|bn_books-210-%c-28680|bn_books-210-%c-28813|bn_books-210-%c-29056|bn_books-210-%c-29161|bn_books-210-%c-40155|bn_books-210-%c-43370|bn_books-210-%c-45944|bn_books-210-%c-45996|bn_books-210-%c-56063|bn_books-210-%c-71451|bn_books-210-%c-75551|bn_books-210-%c-76307|bn_books-210-%c-81608|bn_books-210-%c-82925|bn_books-210-%c-90887|bn_books-210-%c-91305|bn_books-210-%c-100797|bn_books-210-%c-109681|bn_books-210-%c-110028|bn_books-210-%c-80286,,abc|kraków
y,4,ABC,,"""ABC""|ABC",,,,Warszawa,bn_books-210-%c-4124|bn_books-210-%c-36031|bn_books-210-%c-36098|bn_books-210-%c-66103|bn_books-210-%c-70531|bn_books-210-%c-91459|bn_books-210-%c-105957|bn_books-210-%c-106377|bn_books-210-%c-55768|bn_books-210-%c-91442,,abc|warszawa
y,5,a bi,,"""a bi"" NZS [Niezależne Zrzeszenie Studentów]",,,2001,Gdańsk,bn_books-210-%c-99796,,abinzsniezależnezrzeszeniestudentów|gdańsk
y,6,Ab Sid Disto Vidis,,"""Ab Sid Disto Vidis""",,,,Kraków,bn_books-210-%c-21631,,absiddistovidis|kraków
y,7,ACK,,ACK,,,,Lubin,bn_books-210-%c-60017,,ack|lublin
y,8,Acta,,"""Acta""",,,,Warszawa,bn_books-210-%c-67353|bn_books-210-%c-88222,,acta|warszawa
y,9,Ad Maiorem Dei Gloriam,,"""Ad Maiorem Dei Gloriam""",,,,Warszawa,bn_books-210-%c-897|bn_books-210-%c-8589|bn_books-210-%c-26697|bn_books-210-%c-32677|bn_books-210-%c-32692|bn_books-210-%c-47031|bn_books-210-%c-50055|bn_books-210-%c-58274|bn_books-210-%c-76561|bn_books-210-%c-106987,,admaioremdeigloriam|warszawa
y,10,Adsum,,"""Adsum""",,,,Warszawa,bn_books-210-%c-20421|bn_books-210-%c-27696|bn_books-210-%c-32248|bn_books-210-%c-56207|bn_books-210-%c-85353|bn_books-210-%c-93897|bn_books-210-%c-108938,,adsum|warszawa
y,11,Agencja Fotograficzna Solidarności Walczącej - Oddział Poznań,,Agencja Fotograficzna. Oddział Poznań,,,2003,Poznań,bn_books-210-%c-31557,,agencjafotograficznaoddziałpoznań|poznań
