group_id,Entity_Name,Entity Acronym,Alternative_form_of_name,Related_Entity_Sub_Entity,Related_Entity_Main_Entity,Located_Location,Grouped,entity_as_author,simple_name_loc
2,A Capella,,A appela i. e. A cappella,,2002,Gdańsk,bn_books-210-%c-30466,,gdańsk|aappelaieacappella
3,ABC,,,,,Kraków,bn_books-210-%c-109681|bn_books-210-%c-2759|bn_books-210-%c-76307|bn_books-210-%c-28619|bn_books-210-%c-28813|bn_books-210-%c-45944|bn_books-210-%c-82925|bn_books-210-%c-81608|bn_books-210-%c-90887|bn_books-210-%c-40155|bn_books-210-%c-110028|bn_books-210-%c-43370|bn_books-210-%c-91305|bn_books-210-%c-29056|bn_books-210-%c-28680|bn_books-210-%c-45996|bn_books-210-%c-75551|bn_books-210-%c-71451|bn_books-210-%c-56063|bn_books-210-%c-2745|bn_books-210-%c-80286|bn_books-210-%c-29161|bn_books-210-%c-100797,,abc|kraków
4,ABC,,,,,Warszawa,bn_books-210-%c-4124|bn_books-210-%c-66103|bn_books-210-%c-36098|bn_books-210-%c-91459|bn_books-210-%c-105957|bn_books-210-%c-106377|bn_books-210-%c-91442|bn_books-210-%c-55768|bn_books-210-%c-70531|bn_books-210-%c-36031,,abc|warszawa
5,a bi,,a bi NZS,,2001,Gdańsk,bn_books-210-%c-99796,,gdańsk|abinzsniezależnezrzeszeniestudentów
6,Ab Sid Disto Vidis,,,,,Kraków,bn_books-210-%c-21631,,kraków|absiddistovidis
7,ACK,,,,,Lubin,bn_books-210-%c-60017,,lublin|ack
8,Acta,,,,,Warszawa,bn_books-210-%c-67353|bn_books-210-%c-88222,,acta|warszawa
9,Ad Maiorem Dei Gloriam,,,,,Warszawa,bn_books-210-%c-47031|bn_books-210-%c-26697|bn_books-210-%c-32677|bn_books-210-%c-897|bn_books-210-%c-50055|bn_books-210-%c-76561|bn_books-210-%c-106987|bn_books-210-%c-32692|bn_books-210-%c-58274|bn_books-210-%c-8589,,admaioremdeigloriam|warszawa
10,Adsum,,,,,Warszawa,bn_books-210-%c-32248|bn_books-210-%c-85353|bn_books-210-%c-93897|bn_books-210-%c-56207|bn_books-210-%c-20421|bn_books-210-%c-27696|bn_books-210-%c-108938,,warszawa|adsum
11,Agencja Fotograficzna Solidarności Walczącej - Oddział Poznań,,Agencja Fotograficzna. Oddział Poznań,,2003,Poznań,bn_books-210-%c-31557,,poznań|agencjafotograficznaoddziałpoznań
12,Agencja Informacyjna Solidarności Walczącej,AISW,Agencja Informacyjna SW|Ag. Inf. SW|Ag. Inf. Solidarności Walczącej|Agencja Informacyjna Solidarności Walczącej|AISW,,2003,Wrocław|Lublin|S. l.|s. l.|Poznań,bn_books-210-%g-48853|bn_books-210-%c-49317|bn_books-210-%g-89371|bn_books-210-%c-84556|bn_books-210-%c-310|bn_books-210-%g-87964|bn_books-210-%c-92956|bn_books-210-%c-100337|bn_books-210-%c-19836|bn_books-210-%c-47207|bn_books-210-%c-35367|bn_books-210-%c-81911|bn_books-210-%c-95027|bn_books-210-%c-104962|bn_books-210-%c-4893|bn_books-210-%c-95040|bn_books-210-%c-44604|bn_books-210-%c-78632|bn_books-210-%c-36988|bn_books-210-%c-75622|bn_books-210-%c-4603|bn_books-210-%g-100449|bn_books-210-%c-44677|bn_books-210-%c-57242|bn_books-210-%c-87964|bn_books-210-%c-93761|bn_books-210-%c-38980|bn_books-210-%c-26744|bn_books-210-%c-22635|bn_books-210-%c-20721|bn_books-210-%c-108780|bn_books-210-%c-90207|bn_books-210-%c-56446|bn_books-210-%c-55929|bn_books-210-%c-90854|bn_books-210-%c-63947|bn_books-210-%c-81428|bn_books-210-%c-110091|bn_books-210-%c-54796|bn_books-210-%c-81924|bn_books-210-%c-58478|bn_books-210-%c-3596|bn_books-210-%c-4845|bn_books-210-%c-81446|bn_books-210-%c-96631|bn_books-210-%g-33885|bn_books-210-%c-33885|bn_books-210-%c-52230|bn_books-210-%c-10887,,lublin|sl|wroc|poznań|wrocław|agencjainformacyjnaswsolidarnościwalczącej|agencjainformacyjnasolidarnościwalczącej|aisw
