Index Name,Name,Given Name,Birth,Death,Occupation,birthplace,deathplace,Sex Label,Wikidata ID,VIAF ID,Project ID,DataSource,Numeration,Addition to Name,Numeration (arabic),Other Name Forms,True Name,"Pseudonym, Kryptonym",sztorc
Abramowski Edward,Abramowski,Edward,1868-08-17,1918-06-21,https://www.wikidata.org/wiki/Q2306091|https://www.wikidata.org/wiki/Q1622272|https://www.wikidata.org/wiki/Q4964182|https://www.wikidata.org/wiki/Q212980|https://www.wikidata.org/wiki/Q12961474,https://www.wikidata.org/wiki/Q11825794,https://www.wikidata.org/wiki/Q270,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q552669,http://viaf.org/viaf/41864104,1,PL_BN_books,,,,,,,False
Fuchs Jürgen,Fuchs,Jürgen,1950-12-19,1999-05-09,https://www.wikidata.org/wiki/Q36180,https://www.wikidata.org/wiki/Q46849,https://www.wikidata.org/wiki/Q64,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q90750,http://viaf.org/viaf/111169948,10,PL_BN_books,,,,,,,False
Grott-Nowomiejska Helena,Grott-Nowomiejska,Helena,,,,,,,,http://viaf.org/viaf/311120792,100,PL_BN_books,,,,,,,False
Skarga Barbara,Skarga,Barbara,1919-10-25,2009-09-18,https://www.wikidata.org/wiki/Q4964182,https://www.wikidata.org/wiki/Q270,https://www.wikidata.org/wiki/Q82765,https://www.wikidata.org/wiki/Q467,https://www.wikidata.org/wiki/Q2507360,http://viaf.org/viaf/51731590,1000,PL_BN_books,,,,,,Kraśniewska Wiktoria,False
Skarski Wojciech,Skarski,Wojciech,,,,,,,,http://viaf.org/viaf/311120829,1001,PL_BN_books,,,,,,,False
Skolimowski Henryk,Skolimowski,Henryk,1930-05-04,2018-04-06,https://www.wikidata.org/wiki/Q3578589|https://www.wikidata.org/wiki/Q4964182,https://www.wikidata.org/wiki/Q270,https://www.wikidata.org/wiki/Q270,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q3493601,http://viaf.org/viaf/69734099,1004,PL_BN_books,,,,,,,False
Skórzyński Piotr,Skórzyński,Piotr,1952-01-11,2008-06-03,https://www.wikidata.org/wiki/Q1930187,https://www.wikidata.org/wiki/Q270,https://www.wikidata.org/wiki/Q270,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q11818070,http://viaf.org/viaf/61436370,1006,PL_BN_books,,,,,,,False
Skrzetuski Mieczysław,Skrzetuski,Mieczysław,,,,,,,,http://viaf.org/viaf/303259312,1007,PL_BN_books,,,,,,,False
Skrzypek Stanisław,Skrzypek,Stanisław,1911-05-29,2007-09-24,https://www.wikidata.org/wiki/Q82955,,,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q9343222,http://viaf.org/viaf/68512284,1008,PL_BN_books,,,,,,,False
"Škvorecký, Josef",Škvorecký,Josef,1924-09-27,2012-01-03,https://www.wikidata.org/wiki/Q333634|https://www.wikidata.org/wiki/Q2085381|https://www.wikidata.org/wiki/Q49757|https://www.wikidata.org/wiki/Q4263842|https://www.wikidata.org/wiki/Q36180|https://www.wikidata.org/wiki/Q12144794|https://www.wikidata.org/wiki/Q876864|https://www.wikidata.org/wiki/Q14467526,https://www.wikidata.org/wiki/Q591823,https://www.wikidata.org/wiki/Q172,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q333741,http://viaf.org/viaf/83176668,1009,CZ_articles;PL_BN_books;PL_BezCenzury_books;PL_BezCenzury_articles,,,,,,J. Mnata|Josef Pepýt|Vlastimila|Errol|Josef Vala|J.Š.|Josef Benda|Mary Novak|Burke|Vladimíra,False
"Gruntorád, Jiří",Gruntorád,Jiří,1952-09-21,,https://www.wikidata.org/wiki/Q182436|https://www.wikidata.org/wiki/Q2085381|https://www.wikidata.org/wiki/Q82955|https://www.wikidata.org/wiki/Q36180,https://www.wikidata.org/wiki/Q1085,,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q11727258,http://viaf.org/viaf/66596944,101,CZ_articles;PL_BN_books,,,,,,,False
Skwarczyński Adam,Skwarczyński,Adam,1886-12-03,1934-04-02,https://www.wikidata.org/wiki/Q82955,https://www.wikidata.org/wiki/Q4108795,https://www.wikidata.org/wiki/Q270,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q8865069,http://viaf.org/viaf/43635745,1010,PL_BN_books,,,,,,,False
Skwarczyński Henryk,Skwarczyński,Henryk,1952-01-01,,https://www.wikidata.org/wiki/Q36180,https://www.wikidata.org/wiki/Q5441822,,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q11709083,http://viaf.org/viaf/101990333,1011,PL_BN_books,,,,,,Skwar Henryk,False
Tarkowski Jacek,Tarkowski,Jacek,,,,,,,,http://viaf.org/viaf/101788509,101142,PL_BN_books,,,,,,"Ankwicz, Michał|Ankwicz Michał",False
Skwarnicki Marek,Skwarnicki,Marek,1930-04-30,2013-03-12,https://www.wikidata.org/wiki/Q49757|https://www.wikidata.org/wiki/Q1930187,https://www.wikidata.org/wiki/Q181376,https://www.wikidata.org/wiki/Q31487,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q11768469,http://viaf.org/viaf/102380279,1012,PL_BN_books,,,,,,,False
Sławek Walery,Sławek,Walery,1879-11-02,1939-04-03,https://www.wikidata.org/wiki/Q82955|https://www.wikidata.org/wiki/Q4002659,https://www.wikidata.org/wiki/Q997335,https://www.wikidata.org/wiki/Q270,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q2000880,http://viaf.org/viaf/25402864,1014,PL_BN_books,,,,,,,False
Sławoj-Składkowski Felicjan,Sławoj-Składkowski,Felicjan,1885-06-09,1962-08-31,https://www.wikidata.org/wiki/Q82955|https://www.wikidata.org/wiki/Q4002659,https://www.wikidata.org/wiki/Q990808,https://www.wikidata.org/wiki/Q84,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q1403120,http://viaf.org/viaf/61673977,1015,PL_BN_books,,,,,,,False
Słoński Edward,Słoński,Edward,1872-10-23,1926-07-24,https://www.wikidata.org/wiki/Q49757,https://www.wikidata.org/wiki/Q19850497,https://www.wikidata.org/wiki/Q270,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q9251241,http://viaf.org/viaf/18625954,1016,PL_BN_books,,,,,,,False
Słowakiewicz Andrzej,Słowakiewicz,Andrzej,,,,,,,,http://viaf.org/viaf/71805650,1017,PL_BN_books,,,,,,,False
Smektała Zdzisław,Smektała,Zdzisław,1951-02-12,2018-01-17,https://www.wikidata.org/wiki/Q1930187|https://www.wikidata.org/wiki/Q33999,https://www.wikidata.org/wiki/Q147929,https://www.wikidata.org/wiki/Q1799,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q9389854,http://viaf.org/viaf/84487402,1018,PL_BN_books,,,,,,,False
Smith Hedrick,Smith,Hedrick,1933-07-09,,https://www.wikidata.org/wiki/Q1930187,https://www.wikidata.org/wiki/Q1011533,,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q4424886,http://viaf.org/viaf/9853677,1019,PL_BN_books,,,,,,,False
Grupiński Rafał,Grupiński,Rafał,1952-09-26,,https://www.wikidata.org/wiki/Q182436|https://www.wikidata.org/wiki/Q82955,https://www.wikidata.org/wiki/Q52900,,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q602861,http://viaf.org/viaf/64423836,102,PL_BN_books,,,,,,,False
Smolar Aleksander,Smolar,Aleksander,1940-12-10,,https://www.wikidata.org/wiki/Q6051619|https://www.wikidata.org/wiki/Q1238570|https://www.wikidata.org/wiki/Q82955,https://www.wikidata.org/wiki/Q761,,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q1149198,http://viaf.org/viaf/49231840,1020,PL_BN_books;PL_BezCenzury_articles,,,,,,,False
Hornik Richard,Hornik,Richard,,,,,,,,http://viaf.org/viaf/162695462,102059,PL_BN_books,,,,,,,False
Voslenskij Michail Sergeevič,Voslenskij,Michail Sergeevič,1920-12-06,1997-02-08,https://www.wikidata.org/wiki/Q2306091|https://www.wikidata.org/wiki/Q201788|https://www.wikidata.org/wiki/Q193391,https://www.wikidata.org/wiki/Q33292,https://www.wikidata.org/wiki/Q586,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q552723,http://viaf.org/viaf/39385244,1021,PL_BN_books,,,,Woslenski Michaił|Wosleński Michał|Wosleński Michaił,,,False
Smoleń Ludwik,Smoleń,Ludwik,,,,,,,,http://viaf.org/viaf/249572774,1022,PL_BN_books,,,,,,,False
Drozdowski Marek Marian,Drozdowski,Marek Marian,1932-02-01,,https://www.wikidata.org/wiki/Q201788,https://www.wikidata.org/wiki/Q324897,,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q11769551,http://viaf.org/viaf/269700433,1023,PL_BN_books,,,,,,,False
Smoleński Paweł,Smoleński,Paweł,1959-07-07,,https://www.wikidata.org/wiki/Q1930187,https://www.wikidata.org/wiki/Q270,,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q11814415,http://viaf.org/viaf/101739938,1024,PL_BN_books,,,,,,,False
Smolka Iwona,Smolka,Iwona,1944-01-01,,,,,https://www.wikidata.org/wiki/Q467,https://www.wikidata.org/wiki/Q11714601,http://viaf.org/viaf/71529497,1025,PL_BN_books,,,,,,Inga|Jarota Maria,False
Smolorz Michał,Smolorz,Michał,1955-05-07,2013-01-10,https://www.wikidata.org/wiki/Q3282637|https://www.wikidata.org/wiki/Q1930187|https://www.wikidata.org/wiki/Q2526255,https://www.wikidata.org/wiki/Q451391,https://www.wikidata.org/wiki/Q588,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q11779228,http://viaf.org/viaf/166769609,1026,PL_BN_books,,,,,,Szulecki Stefan,False
Smrkovský Josef,Smrkovský,Josef,1911-02-26,1974-01-15,https://www.wikidata.org/wiki/Q82955,https://www.wikidata.org/wiki/Q1258920,https://www.wikidata.org/wiki/Q1085,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q561468,http://viaf.org/viaf/54941291,1027,PL_BN_books,,,,,,,False
Snopek Kazimierz,Snopek,Kazimierz,,,,,,,,http://viaf.org/viaf/302619210,1028,PL_BN_books,,,,,,,False
Sobczak Janusz,Sobczak,Janusz,,,,,,,,http://viaf.org/viaf/61590782,1029,PL_BN_books,,,,,,,False
Gorbacz D.,Gorbacz,D.,1940-01-20,,https://www.wikidata.org/wiki/Q1930187,,,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q9207648,http://viaf.org/viaf/76732259,1030,PL_BN_books,,,,,,,False
Sobieski Wacław,Sobieski,Wacław,1872-10-26,1935-04-03,https://www.wikidata.org/wiki/Q201788,https://www.wikidata.org/wiki/Q36036,https://www.wikidata.org/wiki/Q31487,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q7958900,http://viaf.org/viaf/65171718,1032,PL_BN_books,,,,,,,False
Sobieszczański Marian,Sobieszczański,Marian,,,,,,,,http://viaf.org/viaf/302123943,1033,PL_BN_books,,,,,,,False
Sobolewski Marek,Sobolewski,Marek,1925-04-27,1983-05-07,https://www.wikidata.org/wiki/Q185351,https://www.wikidata.org/wiki/Q31487,https://www.wikidata.org/wiki/Q31487,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q11768470,http://viaf.org/viaf/3274666,1034,PL_BN_books,,,,,,,False
Braun Andrzej,Braun,Andrzej,1923-08-19,2008-11-09,https://www.wikidata.org/wiki/Q12144794|https://www.wikidata.org/wiki/Q49757,https://www.wikidata.org/wiki/Q580,https://www.wikidata.org/wiki/Q270,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q8860644,http://viaf.org/viaf/101715984,1035,PL_BN_books,,,,,,,False
Sobolewski Tadeusz,Sobolewski,Tadeusz,1947-10-31,,https://www.wikidata.org/wiki/Q6430706,https://www.wikidata.org/wiki/Q270,,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q9354843,http://viaf.org/viaf/46936743,1036,PL_BN_books,,,,,,,False
Sokołowski Jerzy,Sokołowski,Jerzy,1910-10-12,1980-01-08,https://www.wikidata.org/wiki/Q2066131,,https://www.wikidata.org/wiki/Q270,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q15394300,http://viaf.org/viaf/166479066,1037,PL_BN_books,,,,,,,False
Solonevič Ivan Lukianovič,Solonevič,Ivan Lukianovič,1891-11-13,1953-04-24,https://www.wikidata.org/wiki/Q6051619|https://www.wikidata.org/wiki/Q49757|https://www.wikidata.org/wiki/Q2085381|https://www.wikidata.org/wiki/Q1930187|https://www.wikidata.org/wiki/Q36180,https://www.wikidata.org/wiki/Q995159,https://www.wikidata.org/wiki/Q1335,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q516870,http://viaf.org/viaf/59317747,1039,PL_BN_books,,,,Sołoniewicz Iwan,,,False
Grynberg Henryk,Grynberg,Henryk,1936-07-04,,https://www.wikidata.org/wiki/Q12144794|https://www.wikidata.org/wiki/Q487596|https://www.wikidata.org/wiki/Q49757|https://www.wikidata.org/wiki/Q1930187,https://www.wikidata.org/wiki/Q270,,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q719190,http://viaf.org/viaf/31997209,104,PL_BN_books,,,,,,,False
"Solt, Ottilia",Solt,Ottilia,1944-01-07,1997-02-01,https://www.wikidata.org/wiki/Q2306091|https://www.wikidata.org/wiki/Q82955,https://www.wikidata.org/wiki/Q1781,https://www.wikidata.org/wiki/Q1781,https://www.wikidata.org/wiki/Q467,https://www.wikidata.org/wiki/Q1289839,http://viaf.org/viaf/289602965,1041,CZ_articles;PL_BN_books,,,,,,,False
Braun Jerzy,Braun,Jerzy,1901-09-01,1975-10-17,https://www.wikidata.org/wiki/Q6051619|https://www.wikidata.org/wiki/Q49757|https://www.wikidata.org/wiki/Q82955|https://www.wikidata.org/wiki/Q4964182,https://www.wikidata.org/wiki/Q324971,https://www.wikidata.org/wiki/Q220,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q8860651,http://viaf.org/viaf/69087214,1042,PL_BN_books,,,,,,,False
Popiel Karol,Popiel,Karol,1887-10-28,1977-06-06,https://www.wikidata.org/wiki/Q82955,https://www.wikidata.org/wiki/Q786764,https://www.wikidata.org/wiki/Q220,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q8864346,http://viaf.org/viaf/38089059,1043,PL_BN_books,,,,,,,False
Andronov Iona,Andronov,Iona,,,,,,,,http://viaf.org/viaf/311120789,1044,PL_BN_books,,,,Andronow Jona,,,False
Sienkiewicz Konrad,Sienkiewicz,Konrad,,,,,,,,http://viaf.org/viaf/302942825,1045,PL_BN_books,,,,,,,False
Braun Juliusz Jan,Braun,Juliusz Jan,1948-08-29,,https://www.wikidata.org/wiki/Q1930187|https://www.wikidata.org/wiki/Q82955,https://www.wikidata.org/wiki/Q2351815,,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q11729263,http://viaf.org/viaf/3153151778213018130007,1046,PL_BN_books,,,,,,,False
"Sommer, Piotr",Sommer,Piotr,1948-04-13,,https://www.wikidata.org/wiki/Q49757,https://www.wikidata.org/wiki/Q110732,,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q4193761,http://viaf.org/viaf/101760846,1049,PL_BN_books;CZ_books,,,,,,,False
Alexander W. M.,Alexander,W. M.,,,,,,,,http://viaf.org/viaf/74264171,105,PL_BN_books,,,,Alexander M. W.,,,False
Sorman Guy,Sorman,Guy,1944-03-10,,https://www.wikidata.org/wiki/Q780596|https://www.wikidata.org/wiki/Q1238570|https://www.wikidata.org/wiki/Q1086863|https://www.wikidata.org/wiki/Q11774202|https://www.wikidata.org/wiki/Q1622272|https://www.wikidata.org/wiki/Q17351648|https://www.wikidata.org/wiki/Q876864,https://www.wikidata.org/wiki/Q210769,,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q3122159,http://viaf.org/viaf/66659942,1050,PL_BN_books,,,,,,,False
Bregman Aleksander,Bregman,Aleksander,1906,1967,,,,,,http://viaf.org/viaf/517159234592003372113,1051,PL_BN_books,,,,,,,False
Sorokin Vladimir,Sorokin,Vladimir,1955-08-07,1968,https://www.wikidata.org/wiki/Q487596|https://www.wikidata.org/wiki/Q3391743|https://www.wikidata.org/wiki/Q8178443|https://www.wikidata.org/wiki/Q18844224|https://www.wikidata.org/wiki/Q36180|https://www.wikidata.org/wiki/Q1028181|https://www.wikidata.org/wiki/Q28389,https://www.wikidata.org/wiki/Q1018529,,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q319839,http://viaf.org/viaf/113821744,1052,PL_BN_books,,,,,,,False
Sosnkowski Kazimierz,Sosnkowski,Kazimierz,1885-11-19,1969-10-11,https://www.wikidata.org/wiki/Q82955|https://www.wikidata.org/wiki/Q47064,https://www.wikidata.org/wiki/Q270,https://www.wikidata.org/wiki/Q974582,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q2988903,http://viaf.org/viaf/56652435,1053,PL_BN_books,,,,,,,False
Šostakovič Dmitrij Dmitrievič,Šostakovič,Dmitrij Dmitrievič,1906-09-25,1975-08-09,https://www.wikidata.org/wiki/Q1622272|https://www.wikidata.org/wiki/Q36834|https://www.wikidata.org/wiki/Q82955|https://www.wikidata.org/wiki/Q8178443|https://www.wikidata.org/wiki/Q486748|https://www.wikidata.org/wiki/Q2675537,https://www.wikidata.org/wiki/Q656,https://www.wikidata.org/wiki/Q649,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q80135,http://viaf.org/viaf/89612684,1054,PL_BN_books,,,,Szostakowicz      Dymitr|Szostakowicz Dymitr,,,False
Volkov Solomon Maseevič,Volkov,Solomon Maseevič,1944-04-17,,https://www.wikidata.org/wiki/Q1930187|https://www.wikidata.org/wiki/Q36180|https://www.wikidata.org/wiki/Q14915627,https://www.wikidata.org/wiki/Q373808,,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q2291992,http://viaf.org/viaf/90715985,1055,PL_BN_books,,,,Wołkow Solomon,,,False
Sowietolog,Sowietolog,,,,,,,,,http://viaf.org/viaf/303524089,1056,PL_BN_books,,,,,,,False
Sowiński Ludwik,Sowiński,Ludwik,,,,,,,,http://viaf.org/viaf/165439012,1057,PL_BN_books,,,,,,,False
Speidel Helm,Speidel,Helm,,,,,,,,http://viaf.org/viaf/163313915,1058,PL_BN_books,,,,,,,False
Grzegorzewski Aleksander,Grzegorzewski,Aleksander,,,,,,,,http://viaf.org/viaf/165773060,106,PL_BN_books,,,,,,,False
Spychalski Czesław,Spychalski,Czesław,,,,,,,,http://viaf.org/viaf/101742138,1060,PL_BN_books,,,,,,,False
Sroka Tadeusz,Sroka,Tadeusz,,,,,,,,http://viaf.org/viaf/311120839,1061,PL_BN_books,,,,,,,False
Staniszkis Jadwiga,Staniszkis,Jadwiga,1942-04-26,,https://www.wikidata.org/wiki/Q1238570|https://www.wikidata.org/wiki/Q2306091,https://www.wikidata.org/wiki/Q270,,https://www.wikidata.org/wiki/Q467,https://www.wikidata.org/wiki/Q6121582,http://viaf.org/viaf/94547130,1062,PL_BN_books,,,,,,,False
"Stankiewicz, Tomasz",,,1946-01-01,,,,,,https://www.wikidata.org/wiki/Q95405664,http://viaf.org/viaf/303575713,1063,PL_BN_books,,,,,,,False
Stanowski Adam,Stanowski,Adam,1927-04-19,1990-02-07,https://www.wikidata.org/wiki/Q201788|https://www.wikidata.org/wiki/Q1930187,https://www.wikidata.org/wiki/Q1792,https://www.wikidata.org/wiki/Q37333,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q11684375,http://viaf.org/viaf/41931882,1064,PL_BN_books,,,,,,,False
Steiner Jean-François,Steiner,Jean-François,1938-02-17,,https://www.wikidata.org/wiki/Q36180,https://www.wikidata.org/wiki/Q90,,https://www.wikidata.org/wiki/Q8441,https://www.wikidata.org/wiki/Q3165902,http://viaf.org/viaf/69703146,1065,PL_BN_books,,,,,,,False
