"Entity Name","Alternative Form of Name","Project ID","LOD ID","Entity Location","Entity Location - Object ID",Entity_Acronym,"[Related Entity] Sub-Object ID","[Related Entity] Sub Entity","[Related Entity] Sub Entity - Object ID","[Related Entity] Main Entity","[Related Entity] Main Entity - Object ID","[Related Entity] Affiliated Entity","[Related Entity] Affiliated Entity - Object ID","[Located] Sub-Object ID","[Located] Location Reference","[Located] Location Reference - Object ID","[Located] Geometry","[Located] Located"
,,00001,,,,,16407096,,,,,,,,,,,
-red-,,00002,,,,,16407097,,,,,,,,,,,
"""a bi"" NZS [Niezależne Zrzeszenie Studentów]",,00003,,,,,16407098,,,,,,,16405518,,,,Gdańsk
"""Aneks"" Warszawa Niezależna Oficyna Wydawnicza",,00004,,,,,16407099,,,,,,,16405519,,,,Londyn
"""Aspekt"" na zlec. Dolnośląskiej Rady Edukacji",,00005,,,,,16407100,,,,,,,16405520,,,,Wrocław
"""Aspekt"" przy współpr. Głosu Śląsko-Dąbrowskiego",,00006,,,,,16407101,,,,,,,16405521,,,,Wrocław
"""CDN"" Huta Warszawa",,00007,,,,,16407102,,,,,,,16405522,,,,Warszawa
"""Copyright"" ON [Oświata Niezależna]",,00008,,,,,16407103,,,,,,,16405523,,,,Warszawa
"""Graf"" Ruch Młodzieży Niezależnej",,00009,,,,,16407104,,,,,,,16405524,,,,Wrocław
"""Hutnik"" Biblioteka Obserwatora Wojennego",,00010,,,,,16407105,,,,,,,16405525,,,,Kraków
"""Indeks"" - Wydaw. Niezależnego Zrzeszenia Studentów",,00011,,,,,16407106,,,,,,,16405526,,,,Kraków
"""Krąg II"" Wydaw. Ruchu Alternatywnego|""Krąg"" II",,00012,,,,,16407107,,,,,,,16405527,,,,Warszawa
"""Krąg"" przy pomocy Officyny Liberałów",,00013,,,,,16407108,,,,,,,16405528,,,,Warszawa
"""Los"" ON [Oświata Niezależna]",,00014,,,,,16407109,,,,,,,16405529,,,,Warszawa
"""Medium"" Komitet Kultury Niezależnej",,00015,,,,,16407110,,,,,,,16405530,,,,Warszawa
"""Nowa Sowa"" Niezależna Bydgoska Oficyna",,00016,,,,,16407111,,,,,,,16405531,,,,Bydgoszcz
"""PeTiT"" ""Solidarność Walcząca"". Oddział Trójmiasto|""PeTiT"" Solidarność Walcząca. Oddział Trójmiasto",,00017,,,,,16407112,,,,,,,16405532,,,,Gdynia
"""Po Prostu Bis"" przy współpr. Wydaw. im. Konstytucji 3 Maja [w Warszawie]",,00018,,,,,16407113,,,,,,,16405533,,,,Kraków
"""Podaj Dalej"" Międzyzakladowy Komitet Strajkowy",,00019,,,,,16407114,,,,,,,16405534,,,,"Tarnów [etc.]"
"""Pokolenie"" ON [Oświata Niezależna]",,00020,,,,,16407115,,,,,,,16405535,,,,Warszawa
"""Prawy Margines"" Wydaw. Polskie",,00021,,,,,16407116,,,,,,,16405536,,,,"Londyn Warszawa"
"""Robotnik"" Wydaw. im Olofa Palme. Oddział Lewa Podmiejska",,00022,,,,,16407117,,,,,,,16405537,,,,Warszawa
"""Rosa"" NZS WSI [Niezależne Zrzeszenie Studentów Wyższej Szkoły Inżynierskiej]|""Rosa"" NZS WSI [Niezależne Zrzeszenie Studentów Wyższej Szkoły Inżynieryjnej]",,00023,,,,,16407118,,,,,,,16405538,,,,Radom
"""Rytm"" ON [Oświata Niezależna]",,00024,,,,,16407119,,,,,,,16405539,,,,Warszawa
"""Signum"" we współpr. z Radą Bibliotek Związkowych [Niezależnego Samorządnego Związku Zawodowego ""Solidarność] Regionu Mazowsze",,00025,,,,,16407120,,,,,,,16405540,,,,Warszawa
"""Słowo Podziemne"" ON [Oświata Niezależna]",,00026,,,,,16407121,,,,,,,16405541,,,,Warszawa
"""Słowo"" ON [Oświata Niezależna]",,00027,,,,,16407122,,,,,,,16405542,,,,Warszawa
"""Solidarność Walcząca"" [Warszawa] ON [Oświata Niezależna]",,00028,,,,,16407123,,,,,,,16405543,,,,Łódź
"""Solidarność Walcząca"" Odzdział Trójmiasto; Petit|Solidarność Walcząca. Oddział Trójmiasto Petit",,00029,,,,,16407124,,,,,,,16405544,,,,Gdynia
"""Solidarność Walcząca"". Oddział Trójmiasto",,00030,,,,,16407125,,,,,,,16405545,,,,Gdańsk
"""Solidarność"" MKZ NSZZ [Międzyzakładowego Komitetu Założycielskiego Niezależnego Samorządnego Związku Zawodowego]",,00031,,,,,16407126,,,,,,,16405546,,,,Wrocław
"""Solidarność"". Fundusz Pomocy",,00032,,,,,16407127,,,,,,,16405547,,,,"Nowa Huta"
"""Sowa"" Uniwersytet Warszawski",,00033,,,,,16407128,,,,,,,16405548,,,,Warszawa
"""Stop"" ON [Oświata Niezależna]",,00034,,,,,16407129,,,,,,,16405549,,,,Warszawa
"""Świadectwa"" TWO [Tajne Wydaw. Oświatowe]",,00035,,,,,16407130,,,,,,,16405550,,,,Łódź
"""Universitas"" przy współpr. NSZZ [Niezależnego Samorządnego Związku Zawodowego] ""Solidarność"" Uniwersytetu Wrocławskiego",,00036,,,,,16407131,,,,,,,16405551,,,,Wrocław
"""Vademecum"" Fundusz Inicjatyw Społecznych",,00037,,,,,16407132,,,,,,,16405552,,,,Lublin
"""Wektory"" Instytut Konserwatywny w Polsce",,00038,,,,,16407133,,,,,,,16405553,,,,Wrocław
"""Wiatr od Morza"", Wydaw. NSZZ [Niezależnego Samorządnego Związku Zawodowego] ""Solidarność"". Sekcja Oświaty i Wychowania",,00039,,,,,16407134,,,,,,,16405554,,,,Gdańsk
(J),,00040,,,,,16407135,,,,,,,16405555,,,,Gdańsk
*/*,,00041,,,,,16407136,,,,,,,16405556,,,,"S. l."
"[Duch a život] [samizdat]",,00042,,,,,16407137,,,,,,,16405557,,,,Praha
"[Edice Petlice] [samizdat]",,00043,,,,,16407138,,,,,,,16405558,,,,Praha
"[J. A. Pitínský] [samizdat]|[Jan Antonín Pitínský] [samizdat]|J. A. Pitínský [samizdat]",,00044,,,,,16407139,,,,,,,16405559,,,,Jeseník-lázně|Brno
"[Jaroslav Knittl] [samizdat]",,00045,,,,,16407140,,,,,,,16405560,,,,Vrchoviny
"[Jiří Müller] [samizdat]",,00046,,,,,16407141,,,,,,,16405561,,,,Brno
"[Jiří Novotný] [samizdat]",,00047,,,,,16407142,,,,,,,16405562,,,,Polsko
"[Josef Plotzer] [samizdat]",,00048,,,,,16407143,,,,,,,16405563,,,,Hodonín
"[Karel Lešanovský] [samizdat]",,00049,,,,,16407144,,,,,,,16405564,,,,Děčín
"[Krameriova expedice] [samizdat]",,00050,,,,,16407145,,,,,,,16405565,,,,Praha
"[Michal Holeček] [samizdat]",,00051,,,,,16407146,,,,,,,16405566,,,,Praha
"[Milan Jelínek] [samizdat]",,00052,,,,,16407147,,,,,,,16405567,,,,Brno
"[Miroslav Svoboda] [samizdat]",,00053,,,,,16407148,,,,,,,16405568,,,,Plzeň
"[MKZ ZŁ NSZZ ""Solidarność",,00054,,,,,16407149,,,,,,,16405569,,,,Łódź
"[nakladatel není známý] [samizdat]",,00055,,,,,16407150,,,,,,,16405570,,,,"Místo vydání není známé"
"[nakladatel není známý] [samizdat]",,00056,,,,,16407151,,,,,,,16405571,,,,"místo vydání není známé"
"[nakladatel není známý] [samizdat]",,00057,,,,,16407152,,,,,,,16405572,,,,"Český Těšín"
"[nakladatel není známý] [samizdat]",,00058,,,,,16407153,,,,,,,16405573,,,,Olomouc
"[nakladatel není známý] [samizdat]",,00059,,,,,16407154,,,,,,,16405574,,,,Praha
"[nakladatel není známý] [samizdat]",,00060,,,,,16407155,,,,,,,16405575,,,,Brno
"[Nakladatel není známý] [samizdat]",,00061,,,,,16407156,,,,,,,16405576,,,,Olomouc
"[nakladtael není známý] [samizdat]",,00062,,,,,16407157,,,,,,,16405577,,,,"Místo vydání není známé"
"[Niezależna Oficyna Wydawnicza] ""Nowa"" 2|[Niezależna Oficyna Wydawnicza]""Nowa"" 2",,00063,,,,,16407158,,,,,,,16405578,,,,Warszawa
"[Niezależny Samorządny Związek Zawodowy Rolników Indywidualnych ""Solidarność",,00064,,,,,16407159,,,,,,,16405579,,,,Warszawa
"[NSZZ - Niezależny Samorządny Związek Zawodowy] ""Solidarność"" [Ziemi Łódzkiej]",,00065,,,,,16407160,,,,,,,16405580,,,,Łódź
